tiempo,x,y
0.460,956,652
0.845,808,626
1.193,691,583
1.546,603,517
1.947,544,449
2.294,496,387
2.664,487,368
3.019,493,375
3.353,514,412
3.920,560,471
4.289,643,548
4.690,747,609
5.091,881,647
5.464,1021,644
5.865,1134,620
6.235,1246,571
6.605,1331,509
7.004,1373,462
7.388,1393,434
7.769,1394,423
8.152,1384,440
8.529,1354,484
8.926,1289,541
9.273,1196,598
9.638,1085,636
9.977,969,648
10.313,845,640
10.650,733,599
11.034,646,552
11.358,593,505
11.686,561,471
12.040,549,448
12.343,561,463
12.724,583,493
13.087,635,538
13.441,716,586
13.858,813,628
14.200,933,647
14.516,1044,635
14.842,1147,606
15.188,1238,561
15.520,1302,517
15.889,1339,485
16.222,1356,471
16.595,1353,469
16.932,1332,489
17.255,1289,524
17.587,1220,569
17.919,1130,610
18.257,1027,636
18.582,917,642
18.915,811,622
19.317,722,590
19.662,656,553
20.035,615,517
20.369,596,501
20.726,597,502
21.122,616,519
21.470,657,553
21.803,721,589
22.141,802,619
22.480,906,636
22.870,1008,634
23.206,1103,615
23.556,1186,582
23.892,1248,550
