tiempo,x,y
0.027,123,157
0.132,123,158
0.214,123,157
0.299,124,157
0.381,125,156
0.470,127,157
0.559,125,157
0.650,124,157
0.746,124,157
0.840,125,157
0.930,125,158
1.014,126,158
1.099,124,157
1.183,124,157
1.266,123,158
1.349,124,158
1.430,124,157
1.514,124,157
1.599,125,158
1.682,124,157
1.765,123,158
1.850,124,158
1.926,124,158
2.009,124,157
2.104,122,157
2.197,125,157
2.293,125,158
2.374,125,158
2.453,123,157
2.533,122,157
2.613,123,157
2.692,123,157
2.799,124,157
2.889,124,157
2.964,123,157
3.054,123,157
3.143,123,157
3.222,123,157
3.302,124,157
3.381,125,157
3.460,124,158
3.544,123,157
3.631,123,157
3.718,122,157
3.798,123,157
3.883,123,157
3.979,124,157
4.063,124,158
4.152,124,158
4.245,124,158
4.344,124,158
4.430,124,158
4.528,125,158
4.616,125,158
4.698,125,158
4.797,124,158
4.882,122,157
4.966,123,157
5.045,123,157
5.149,125,157
5.243,125,157
5.331,124,157
5.427,124,158
5.507,122,158
5.596,123,157
5.685,123,156
5.765,126,157
5.845,125,158
5.920,124,157
6.019,123,157
6.106,123,157
6.194,123,157
6.282,123,157
6.367,124,157
6.446,124,158
6.525,124,157
6.616,123,157
6.701,122,157
6.786,122,157
6.871,123,157
6.954,124,157
7.049,124,157
7.144,124,158
7.233,124,158
7.317,122,157
7.414,123,157
7.502,124,157
7.590,123,157
7.675,125,157
7.761,123,157
7.858,124,158
7.955,123,157
8.050,122,157
8.145,123,157
8.240,124,157
8.329,124,157
8.406,124,158
8.506,123,156
8.587,123,158
8.669,123,157
8.746,123,157
8.849,123,157
8.934,124,157
9.041,125,157
9.129,123,157
9.212,123,157
9.309,122,157
9.398,123,157
9.477,123,157
9.565,124,156
9.653,123,157
9.731,123,157
9.817,122,157
9.915,123,157
10.001,123,157
10.080,124,158
10.184,125,157
10.277,125,157
10.366,124,157
10.449,123,157
10.528,123,157
10.612,123,156
10.711,124,157
10.808,125,157
10.900,125,157
10.991,124,157
11.067,123,157
11.146,123,157
11.226,123,156
11.307,124,156
11.388,124,156
11.467,124,157
11.547,123,157
11.632,123,157
11.726,123,157
11.820,123,157
11.908,123,156
12.012,125,157
12.098,124,157
12.205,124,157
12.300,124,158
12.390,123,157
12.470,122,156
12.545,124,157
12.628,124,157
12.715,124,158
12.803,123,157
12.883,123,158
12.962,123,158
13.048,123,157
13.143,123,157
13.228,124,156
13.332,125,155
13.428,124,157
13.520,124,157
13.603,124,157
13.682,124,157
13.769,125,157
13.861,125,157
13.952,125,158
14.030,124,158
14.116,123,158
14.209,123,157
14.310,124,158
14.407,124,157
14.497,124,157
14.572,125,158
14.651,124,157
14.749,123,157
14.830,124,157
14.932,124,158
15.016,123,157
15.099,123,157
15.179,124,157
15.258,123,157
15.351,122,157
15.434,122,156
15.517,122,156
15.608,124,156
15.686,124,157
15.767,124,157
15.853,124,157
15.941,123,157
16.023,124,157
16.100,125,157
16.179,124,157
16.266,124,156
16.359,124,156
16.455,124,157
16.553,124,157
16.641,124,157
16.718,124,157
16.799,123,156
16.883,124,157
16.983,124,156
