tiempo,x,y
0.047,350,145
0.156,349,146
0.239,350,145
0.321,350,146
0.406,351,146
0.495,350,146
0.584,351,145
0.674,351,145
0.767,350,145
0.864,350,145
0.953,350,146
1.037,351,146
1.121,350,146
1.207,350,146
1.287,350,145
1.370,350,145
1.453,350,146
1.538,350,146
1.620,351,147
1.706,351,147
1.787,350,147
1.871,350,147
1.952,350,146
2.030,350,145
2.125,349,146
2.220,351,147
2.314,351,147
2.396,350,146
2.475,349,146
2.555,349,146
2.624,350,146
2.714,350,147
2.821,350,147
2.910,350,147
2.987,350,146
3.075,350,146
3.164,349,147
3.245,350,146
3.323,350,147
3.403,351,146
3.481,350,147
3.555,351,147
3.650,350,146
3.739,350,147
3.819,350,146
3.905,350,146
4.002,351,147
4.088,351,146
4.174,351,147
4.267,350,146
4.362,350,146
4.453,349,147
4.549,351,146
4.636,351,147
4.723,350,147
4.819,351,147
4.907,350,146
4.987,350,146
5.066,349,146
5.170,351,146
5.263,351,146
5.352,350,146
5.449,350,146
5.523,350,145
5.620,351,146
5.708,350,146
5.786,351,146
5.865,351,145
5.952,351,145
6.040,350,146
6.127,350,146
6.215,350,146
6.302,350,146
6.393,351,146
6.469,351,147
6.552,351,145
6.637,351,145
6.722,351,146
6.810,350,146
6.880,350,146
6.975,350,146
7.070,351,146
7.166,350,147
7.256,350,147
7.337,350,145
7.437,350,145
7.524,350,145
7.612,350,146
7.701,351,146
7.770,351,145
7.882,350,147
7.976,350,146
8.071,350,146
8.166,350,146
8.261,350,146
8.352,351,146
8.438,351,146
8.527,350,146
8.610,350,146
8.686,350,146
8.767,350,146
8.867,351,146
8.960,351,146
9.061,350,146
9.151,351,146
9.236,351,145
9.332,350,146
9.420,350,146
9.501,350,146
9.586,350,146
9.673,351,145
9.755,350,145
9.824,351,146
9.936,350,146
10.022,350,146
10.104,351,146
10.204,351,146
10.300,351,146
10.391,351,145
10.470,351,145
10.551,351,146
10.636,351,145
10.731,351,145
10.827,352,146
10.922,351,146
11.010,351,145
11.090,351,145
11.168,351,146
11.250,351,146
11.327,351,146
11.408,351,146
11.489,351,146
11.559,350,147
11.654,351,146
11.749,350,146
11.841,350,146
11.937,351,146
12.033,351,146
12.130,351,146
12.226,351,145
12.321,351,146
12.410,351,145
12.491,350,146
12.570,350,146
12.651,352,147
12.736,352,146
12.824,350,146
